trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.08, 'e': 0.99}",25,0,-81.81775032696424,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.08, 'e': 0.9801}",35,0,-201.4739902461017,"{0: 19, 1: 4, 2: 7, 3: 3, 4: 2}",0
3,False,"{'a': 0.08, 'e': 0.970299}",20,0,-30.873951954129765,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.08, 'e': 0.9605960100000001}",20,0,-81.49293822562618,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.08, 'e': 0.9509900499}",30,0,-66.43955872206274,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.08, 'e': 0.941480149401}",20,0,-98.2440385748015,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
